grafo,algoritmo,número de vértices,número de arestas,cores,duração (segundos)
myciel3,chromaticNumber,11.0,20.0,4.0,5.0849307692307696e-05
myciel4,chromaticNumber,23.0,71.0,5.0,0.6661371382307693
queen5_5,chromaticNumber,25.0,320.0,5.0,5.994853846153847e-05
queen6_6,chromaticNumber,36.0,580.0,7.0,0.324334521076923
queen7_7,chromaticNumber,49.0,952.0,7.0,0.0080134293846153
anna,dsatur,138.0,986.0,11.0,0.0024437835384615
david,dsatur,87.0,812.0,11.0,0.0018203183846153
fpsol2,dsatur,496.0,11654.0,65.0,0.0329979416923076
fpsol2,dsatur,451.0,8691.0,30.0,0.0237046067692307
fpsol2,dsatur,425.0,8688.0,30.0,0.0235347203076923
games120,dsatur,120.0,1276.0,9.0,0.0027477777692307
homer,dsatur,561.0,3258.0,13.0,0.0093359459230769
huck,dsatur,74.0,602.0,11.0,0.0013070698461538
inithx,dsatur,864.0,18707.0,54.0,0.05591181
inithx,dsatur,645.0,13979.0,31.0,0.0386435695384615
inithx,dsatur,621.0,13969.0,31.0,0.0383794587692307
jean,dsatur,80.0,508.0,10.0,0.0011741161538461
latin_square_10,dsatur,900.0,307350.0,130.0,0.824501958923077
le450_15b,dsatur,450.0,8169.0,17.0,0.0209677588461538
le450_15c,dsatur,450.0,16680.0,23.0,0.0413922828461538
le450_15d,dsatur,450.0,16750.0,24.0,0.0414693273076923
le450_25a,dsatur,450.0,8260.0,25.0,0.0211772574615384
le450_25b,dsatur,450.0,8263.0,25.0,0.0209895193846153
le450_25c,dsatur,450.0,17343.0,28.0,0.0425723804615384
le450_25d,dsatur,450.0,17425.0,29.0,0.0425808495384615
le450_5a,dsatur,450.0,5714.0,10.0,0.0154849428461538
le450_5b,dsatur,450.0,5734.0,10.0,0.0154808917692307
le450_5c,dsatur,450.0,9803.0,7.0,0.0255034683076923
le450_5d,dsatur,450.0,9757.0,12.0,0.0254539323076923
miles1000,dsatur,128.0,6432.0,42.0,0.013182760076923
miles1500,dsatur,128.0,10396.0,73.0,0.0218018866923076
miles250,dsatur,128.0,774.0,8.0,0.0017146363846153
miles500,dsatur,128.0,2340.0,20.0,0.0047079515384615
miles750,dsatur,128.0,4226.0,31.0,0.0084314373846153
mulsol,dsatur,197.0,3925.0,49.0,0.0095978647692307
mulsol,dsatur,188.0,3885.0,31.0,0.0092698875384615
mulsol,dsatur,184.0,3916.0,31.0,0.00928261
mulsol,dsatur,185.0,3946.0,31.0,0.0093491115384615
mulsol,dsatur,186.0,3973.0,31.0,0.0094335046923076
myciel3,dsatur,11.0,20.0,4.0,6.609723076923078e-05
myciel4,dsatur,23.0,71.0,5.0,0.0001784076153846
myciel5,dsatur,47.0,236.0,6.0,0.0005483782307692
myciel6,dsatur,95.0,755.0,7.0,0.001758976076923
myciel7,dsatur,191.0,2360.0,8.0,0.0057023702307692
queen10_10,dsatur,100.0,2940.0,14.0,0.006042814
queen11_11,dsatur,121.0,3960.0,14.0,0.00835624
queen12_12,dsatur,144.0,5192.0,16.0,0.0111283869230769
queen13_13,dsatur,169.0,6656.0,17.0,0.0145235166153846
queen14_14,dsatur,196.0,8372.0,19.0,0.0185246506153846
queen15_15,dsatur,225.0,10360.0,20.0,0.023313298
queen16_16,dsatur,256.0,12640.0,21.0,0.0287065023846153
queen5_5,dsatur,25.0,320.0,5.0,0.0005896404615384
queen6_6,dsatur,36.0,580.0,9.0,0.0011022919230769
queen7_7,dsatur,49.0,952.0,10.0,0.0018164328461538
queen8_12,dsatur,96.0,2736.0,14.0,0.0055837224615384
queen8_8,dsatur,64.0,1456.0,13.0,0.0029176132307692
queen9_9,dsatur,81.0,2112.0,12.0,0.0042447423076923
school1,dsatur,385.0,19095.0,17.0,0.0455190773076923
school1_nsh,dsatur,352.0,14612.0,28.0,0.0342748623076923
zeroin,dsatur,211.0,4100.0,49.0,0.0105375406923076
zeroin,dsatur,211.0,3541.0,30.0,0.0086918463846153
zeroin,dsatur,206.0,3540.0,30.0,0.0086162534615384
anna,first_fit,138.0,986.0,12.0,0.000138714076923
david,first_fit,87.0,812.0,12.0,0.0001114736153846
fpsol2,first_fit,496.0,11654.0,65.0,0.0015786984615384
fpsol2,first_fit,451.0,8691.0,30.0,0.00121126
fpsol2,first_fit,425.0,8688.0,30.0,0.0012280407692307
games120,first_fit,120.0,1276.0,9.0,0.000179992
homer,first_fit,561.0,3258.0,15.0,0.0004655746923076
huck,first_fit,74.0,602.0,11.0,8.65093076923077e-05
inithx,first_fit,864.0,18707.0,54.0,0.0025533617692307
inithx,first_fit,645.0,13979.0,31.0,0.0019397324615384
inithx,first_fit,621.0,13969.0,31.0,0.0019352471538461
jean,first_fit,80.0,508.0,10.0,7.606661538461539e-05
latin_square_10,first_fit,900.0,307350.0,213.0,0.0364443696153846
le450_15b,first_fit,450.0,8169.0,22.0,0.0010725697692307
le450_15c,first_fit,450.0,16680.0,30.0,0.0020792302307692
le450_15d,first_fit,450.0,16750.0,31.0,0.0020977441538461
le450_25a,first_fit,450.0,8260.0,28.0,0.0011008079230769
le450_25b,first_fit,450.0,8263.0,27.0,0.0010991304615384
le450_25c,first_fit,450.0,17343.0,37.0,0.0021586021538461
le450_25d,first_fit,450.0,17425.0,35.0,0.002173637076923
le450_5a,first_fit,450.0,5714.0,14.0,0.0007763429230769
le450_5b,first_fit,450.0,5734.0,13.0,0.0007754103076923
le450_5c,first_fit,450.0,9803.0,17.0,0.0012463588461538
le450_5d,first_fit,450.0,9757.0,18.0,0.0012484343846153
miles1000,first_fit,128.0,6432.0,44.0,0.0007981358461538
miles1500,first_fit,128.0,10396.0,76.0,0.0012920838461538
miles250,first_fit,128.0,774.0,9.0,0.0001173373076923
miles500,first_fit,128.0,2340.0,22.0,0.0003088946923076
miles750,first_fit,128.0,4226.0,34.0,0.0005464828461538
mulsol,first_fit,197.0,3925.0,49.0,0.000547164
mulsol,first_fit,188.0,3885.0,31.0,0.0005382131538461
mulsol,first_fit,184.0,3916.0,31.0,0.0005519058461538
mulsol,first_fit,185.0,3946.0,31.0,0.0005526148461538
mulsol,first_fit,186.0,3973.0,31.0,0.000554789
myciel3,first_fit,11.0,20.0,4.0,5.769923076923077e-06
myciel4,first_fit,23.0,71.0,5.0,1.2627384615384617e-05
myciel5,first_fit,47.0,236.0,6.0,3.4821384615384616e-05
myciel6,first_fit,95.0,755.0,7.0,0.0001008437692307
myciel7,first_fit,191.0,2360.0,8.0,0.0003011586153846
queen10_10,first_fit,100.0,2940.0,16.0,0.0003697686923076
queen11_11,first_fit,121.0,3960.0,17.0,0.000496256
queen12_12,first_fit,144.0,5192.0,20.0,0.000644799076923
queen13_13,first_fit,169.0,6656.0,21.0,0.0008276166153846
queen14_14,first_fit,196.0,8372.0,23.0,0.0010553283846153
queen15_15,first_fit,225.0,10360.0,25.0,0.0012788289230769
queen16_16,first_fit,256.0,12640.0,25.0,0.0015488585384615
queen5_5,first_fit,25.0,320.0,8.0,4.292684615384616e-05
queen6_6,first_fit,36.0,580.0,11.0,7.826907692307694e-05
queen7_7,first_fit,49.0,952.0,10.0,0.0001241313846153
queen8_12,first_fit,96.0,2736.0,15.0,0.0003463873846153
queen8_8,first_fit,64.0,1456.0,13.0,0.000187413
queen9_9,first_fit,81.0,2112.0,16.0,0.0002735121538461
school1,first_fit,385.0,19095.0,42.0,0.0023497004615384
school1_nsh,first_fit,352.0,14612.0,39.0,0.001820985
